Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
sp|P21243|PSA1_YEAST	P21243	PSA1_YEAST	SCL1	252	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Proteasome subunit alpha type-1	1:Experimental evidence at protein level	48.81	1.0000	0.9990	0.00000000000000	11	11	11	14	14	14	7.5174272E7	7.5174272E7	7.5174272E7	2C(57.0215),7C(57.0215)		
sp|P21264|PUR6_YEAST	P21264	PUR6_YEAST	ADE2	571	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Phosphoribosylaminoimidazole carboxylase	1:Experimental evidence at protein level	32.57	1.0000	0.9990	0.00000000000000	20	20	20	32	32	32	9.1414456E7	9.1414456E7	9.1414456E7	3C(57.0215),4C(57.0215),7C(57.0215),5C(57.0215),7C(57.0215)		
sp|P21304|PWP1_YEAST	P21304	PWP1_YEAST	PWP1	576	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Periodic tryptophan protein 1	1:Experimental evidence at protein level	6.25	1.0000	0.9990	0.00000000000000	4	4	4	4	4	4	2.2646772E7	2.2646772E7	2.2646772E7			
sp|P21375|OSM1_YEAST	P21375	OSM1_YEAST	OSM1	501	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fumarate reductase 2	1:Experimental evidence at protein level	4.19	1.0000	0.9989	0.00000000000000	3	3	3	2	2	2	1.0533557E7	1.0533557E7	1.0533557E7			
sp|P21538|REB1_YEAST	P21538	REB1_YEAST	REB1	810	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	DNA-binding protein REB1	1:Experimental evidence at protein level	2.72	1.0000	0.9990	0.00000000000000	2	2	2	2	2	2	9442495.0	9442495.0	9442495.0			
sp|P21576|VPS1_YEAST	P21576	VPS1_YEAST	VPS1	704	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Vacuolar protein sorting-associated protein 1	1:Experimental evidence at protein level	36.65	1.0000	0.9990	0.00000000000000	25	24	25	34	33	34	7.9330224E7	7.9330224E7	7.9330224E7	N-term(42.0106)		
sp|P21734|UBC1_YEAST	P21734	UBC1_YEAST	UBC1	215	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Ubiquitin-conjugating enzyme E2 1	1:Experimental evidence at protein level	30.70	1.0000	0.9990	0.00000000000000	6	6	6	7	7	7	4.3313616E7	4.3313616E7	4.3313616E7			
sp|P21825|SEC62_YEAST	P21825	SEC62_YEAST	SEC62	274	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Translocation protein SEC62	1:Experimental evidence at protein level	7.30	1.0000	0.9988	0.00000000000000	2	2	2	2	2	2	9204417.0	9204417.0	9204417.0			
sp|P21827|RCC1_YEAST	P21827	RCC1_YEAST	SRM1	482	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Guanine nucleotide exchange factor SRM1	1:Experimental evidence at protein level	9.75	1.0000	0.9990	0.00000000000000	5	5	5	6	6	6	2.0229358E7	2.0229358E7	2.0229358E7			
sp|P21954|IDHP_YEAST	P21954	IDHP_YEAST	IDP1	428	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Isocitrate dehydrogenase [NADP], mitochondrial	1:Experimental evidence at protein level	43.46	1.0000	0.9990	0.00000000000000	16	12	16	31	25	31	1.36216E8	1.12226656E8	1.36216E8	11C(57.0215),1C(57.0215),6C(57.0215)		
sp|P21965|MCK1_YEAST	P21965	MCK1_YEAST	MCK1	375	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Protein kinase MCK1	1:Experimental evidence at protein level	14.67	1.0000	0.9990	0.00000000000000	7	6	7	8	8	8	2.882382E7	2.8625774E7	2.882382E7	2C(57.0215)		
sp|P22137|CLH_YEAST	P22137	CLH_YEAST	CHC1	1653	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Clathrin heavy chain	1:Experimental evidence at protein level	31.82	1.0000	0.9990	0.00000000000000	47	47	47	93	93	93	3.86114304E8	3.86114304E8	3.86114304E8	13C(57.0215),14C(57.0215),14C(57.0215),20C(57.0215),20C(57.0215),2C(57.0215),4C(57.0215),6C(57.0215),6C(57.0215)		
sp|P22138|RPA2_YEAST	P22138	RPA2_YEAST	RPA135	1203	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	DNA-directed RNA polymerase I subunit RPA135	1:Experimental evidence at protein level	5.90	1.0000	0.9990	0.00000000000000	7	7	7	6	6	6	2.5972708E7	2.5972708E7	2.5972708E7	11C(57.0215),8C(57.0215),9C(57.0215)		
sp|P22141|PSB4_YEAST	P22141	PSB4_YEAST	PRE1	198	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Proteasome subunit beta type-4	1:Experimental evidence at protein level	12.63	1.0000	0.9990	0.00000000000000	2	2	2	3	3	3	3.9342996E7	3.9342996E7	3.9342996E7			
sp|P22146|GAS1_YEAST	P22146	GAS1_YEAST	GAS1	559	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1,3-beta-glucanosyltransferase GAS1	1:Experimental evidence at protein level	8.77	1.0000	0.9990	0.00000000000000	6	6	6	4	4	4	8.6456328E7	8.6456328E7	8.6456328E7	7C(57.0215)		
sp|P22147|XRN1_YEAST	P22147	XRN1_YEAST	XRN1	1528	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	5'-3' exoribonuclease 1	1:Experimental evidence at protein level	15.38	1.0000	0.9990	0.00000000000000	27	27	27	29	29	29	8.6298208E7	8.6298208E7	8.6298208E7	14C(57.0215),15C(57.0215)		
sp|P22203|VATE_YEAST	P22203	VATE_YEAST	VMA4	233	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	V-type proton ATPase subunit E	1:Experimental evidence at protein level	57.94	1.0000	0.9990	0.00000000000000	12	12	12	40	40	40	2.68513536E8	2.68513536E8	2.68513536E8	N-term(42.0106)		
sp|P22213|SLY1_YEAST	P22213	SLY1_YEAST	SLY1	666	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Protein SLY1	1:Experimental evidence at protein level	6.16	1.0000	0.9990	0.00000000000000	4	4	4	4	4	4	1.2874974E7	1.2874974E7	1.2874974E7			
sp|P22217|TRX1_YEAST	P22217	TRX1_YEAST	TRX1	103	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Thioredoxin-1	1:Experimental evidence at protein level	66.02	1.0000	0.9990	0.00000000000000	6	4	4	26	12	12	6.4619629E8	3.1319488E8	3.1319488E8			
sp|P22336|RFA1_YEAST	P22336	RFA1_YEAST	RFA1	621	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Replication factor A protein 1	1:Experimental evidence at protein level	14.65	1.0000	0.9990	0.00000000000000	9	9	9	7	7	7	2.4627696E7	2.4627696E7	2.4627696E7			
sp|P22515|UBA1_YEAST	P22515	UBA1_YEAST	UBA1	1024	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Ubiquitin-activating enzyme E1 1	1:Experimental evidence at protein level	31.54	1.0000	0.9990	0.00000000000000	31	31	31	66	66	66	1.78463584E8	1.78463584E8	1.78463584E8	14C(57.0215),17C(57.0215),20C(57.0215),20C(57.0215),5C(57.0215),5C(57.0215),5C(57.0215),5C(57.0215),5C(57.0215),9C(57.0215)		
sp|P22517|KCC2_YEAST	P22517	KCC2_YEAST	CMK2	447	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Calcium/calmodulin-dependent protein kinase II	1:Experimental evidence at protein level	25.73	1.0000	0.9990	0.00000000000000	12	12	12	17	17	17	1.09615104E8	1.09615104E8	1.09615104E8			
sp|P22696|ESS1_YEAST	P22696	ESS1_YEAST	ESS1	170	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Peptidyl-prolyl cis-trans isomerase ESS1	1:Experimental evidence at protein level	15.29	1.0000	0.9990	0.00000000000000	3	3	3	2	2	2	2.4619466E7	2.4619466E7	2.4619466E7			
sp|P22768|ASSY_YEAST	P22768	ASSY_YEAST	ARG1	420	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Argininosuccinate synthase	1:Experimental evidence at protein level	14.76	1.0000	0.9990	0.00000000000000	7	7	7	7	7	7	3.4955172E7	3.4955172E7	3.4955172E7	3C(57.0215),6C(57.0215)		
sp|P22803|TRX2_YEAST	P22803	TRX2_YEAST	TRX2	104	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Thioredoxin-2	1:Experimental evidence at protein level	66.35	1.0000	0.9990	0.00000000000000	6	4	6	37	23	37	9.3154451E8	8.7439245E8	9.3154451E8	1M(15.9949)		
sp|P22855|MAN1_YEAST	P22855	MAN1_YEAST	AMS1	1083	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Alpha-mannosidase	1:Experimental evidence at protein level	20.13	1.0000	0.9990	0.00000000000000	22	22	22	24	24	24	3.3748984E7	3.3748984E7	3.3748984E7	4C(57.0215),8C(57.0215),N-term(42.0106)		
sp|P22943|HSP12_YEAST	P22943	HSP12_YEAST	HSP12	109	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	12 kDa heat shock protein	1:Experimental evidence at protein level	59.63	1.0000	0.9990	0.00000000000000	6	6	6	25	25	25	7.2608704E8	7.2608704E8	7.2608704E8			
sp|P23180|AIM17_YEAST	P23180	AIM17_YEAST	AIM17	465	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Probable oxidoreductase AIM17	1:Experimental evidence at protein level	23.23	1.0000	0.9990	0.00000000000000	9	9	9	14	14	14	6.0999076E7	6.0999076E7	6.0999076E7	2C(57.0215),7C(57.0215),8C(57.0215)		
sp|P23248|RS3A2_YEAST	P23248	RS3A2_YEAST	RPS1B	255	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	40S ribosomal protein S1-B	1:Experimental evidence at protein level	52.16	1.0000	0.9990	0.00000000000000	15	2	15	63	4	63	7.9975667E8	2.36703104E8	7.9975667E8	5C(57.0215),5C(57.0215),5C(57.0215)		
sp|P23254|TKT1_YEAST	P23254	TKT1_YEAST	TKL1	680	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Transketolase 1	1:Experimental evidence at protein level	34.41	1.0000	0.9990	0.00000000000000	20	17	20	75	67	75	3.52674368E8	3.52674368E8	3.52674368E8			
sp|P23291|KC11_YEAST	P23291	KC11_YEAST	YCK1	538	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Casein kinase I homolog 1	1:Experimental evidence at protein level	9.85	1.0000	0.9990	0.00000000000000	5	4	5	5	4	5	1.9897768E7	1.9620042E7	1.9897768E7			
sp|P23292|KC12_YEAST	P23292	KC12_YEAST	YCK2	546	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Casein kinase I homolog 2	1:Experimental evidence at protein level	13.74	1.0000	0.9990	0.00000000000000	6	5	5	6	5	5	1.5536106E7	1.498742E7	1.498742E7			
sp|P23301|IF5A1_YEAST	P23301	IF5A1_YEAST	HYP2	157	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Eukaryotic translation initiation factor 5A-1	1:Experimental evidence at protein level	36.94	1.0000	0.9990	0.00000000000000	5	4	5	36	35	36	9.5894003E8	9.5894003E8	9.5894003E8	11M(15.9949)		
sp|P23337|GYS1_YEAST	P23337	GYS1_YEAST	GSY1	708	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Glycogen [starch] synthase isoform 1	1:Experimental evidence at protein level	7.34	1.0000	0.9990	0.00000000000000	7	3	3	9	3	3	4.2539656E7	1.3427299E7	1.3427299E7			
sp|P23542|AATC_YEAST	P23542	AATC_YEAST	AAT2	418	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Aspartate aminotransferase, cytoplasmic	1:Experimental evidence at protein level	44.50	1.0000	0.9990	0.00000000000000	14	14	14	38	38	38	2.18542304E8	2.18542304E8	2.18542304E8	14C(57.0215)		
sp|P23585|HXT2_YEAST	P23585	HXT2_YEAST	HXT2	541	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	High-affinity glucose transporter HXT2	1:Experimental evidence at protein level	7.02	1.0000	0.9990	0.00000000000000	4	3	3	7	3	3	7.2809216E7	4.6351048E7	4.6351048E7			
sp|P23594|PP2A1_YEAST	P23594	PP2A1_YEAST	PPH21	369	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Serine/threonine-protein phosphatase PP2A-1 catalytic subunit	1:Experimental evidence at protein level	19.24	1.0000	0.9990	0.00000000000000	6	1	6	6	1	6	2.9513948E7	6801941.0	2.9513948E7	11C(57.0215),11C(57.0215),1C(57.0215),1C(57.0215)		
sp|P23595|PP2A2_YEAST	P23595	PP2A2_YEAST	PPH22	377	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Serine/threonine-protein phosphatase PP2A-2 catalytic subunit	1:Experimental evidence at protein level	18.83	1.0000	0.9990	0.00000000000000	6	1	1	6	1	1	3.2053854E7	9341844.0	9341844.0			
sp|P23615|SPT6_YEAST	P23615	SPT6_YEAST	SPT6	1451	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Transcription elongation factor SPT6	1:Experimental evidence at protein level	8.41	1.0000	0.9990	0.00000000000000	13	13	13	13	13	13	5.4690028E7	5.4690028E7	5.4690028E7	6C(57.0215)		
sp|P23638|PSA3_YEAST	P23638	PSA3_YEAST	PRE9	258	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Proteasome subunit alpha type-3	1:Experimental evidence at protein level	36.05	1.0000	0.9990	0.00000000000000	8	8	8	11	11	11	6.0870908E7	6.0870908E7	6.0870908E7			
sp|P23639|PSA2_YEAST	P23639	PSA2_YEAST	PRE8	250	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Proteasome subunit alpha type-2	1:Experimental evidence at protein level	29.20	1.0000	0.9990	0.00000000000000	6	6	6	9	9	9	6.9311144E7	6.9311144E7	6.9311144E7			
sp|P23641|MPCP_YEAST	P23641	MPCP_YEAST	MIR1	311	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Mitochondrial phosphate carrier protein	1:Experimental evidence at protein level	23.47	1.0000	0.9990	0.00000000000000	7	7	7	10	10	10	4.5938404E7	4.5938404E7	4.5938404E7	5C(57.0215)		
sp|P23644|TOM40_YEAST	P23644	TOM40_YEAST	TOM40	387	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Mitochondrial import receptor subunit TOM40	1:Experimental evidence at protein level	14.47	1.0000	0.9990	0.00000000000000	5	5	5	6	6	6	6.7312312E7	6.7312312E7	6.7312312E7	10C(57.0215),3C(57.0215)		
sp|P23724|PSB6_YEAST	P23724	PSB6_YEAST	PRE7	241	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Proteasome subunit beta type-6	1:Experimental evidence at protein level	33.61	1.0000	0.9990	0.00000000000000	7	7	7	8	8	8	4.848378E7	4.848378E7	4.848378E7			
sp|P23776|EXG1_YEAST	P23776	EXG1_YEAST	EXG1	448	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Glucan 1,3-beta-glucosidase I/II	1:Experimental evidence at protein level	8.04	1.0000	0.9990	0.00000000000000	2	2	2	3	3	3	1.953372E7	1.953372E7	1.953372E7	17C(57.0215)		
sp|P24000|RL24B_YEAST	P24000	RL24B_YEAST	RPL24B	155	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	60S ribosomal protein L24-B	1:Experimental evidence at protein level	30.97	1.0000	0.9990	0.00000000000000	7	1	1	37	2	2	4.23686912E8	2.390502E7	2.390502E7			
sp|P24276|SSD1_YEAST	P24276	SSD1_YEAST	SSD1	1250	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Protein SSD1	1:Experimental evidence at protein level	12.64	1.0000	0.9990	0.00000000000000	16	16	16	24	24	24	1.05697496E8	1.05697496E8	1.05697496E8	6C(57.0215)		
sp|P24280|SEC14_YEAST	P24280	SEC14_YEAST	SEC14	304	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	SEC14 cytosolic factor	1:Experimental evidence at protein level	59.21	1.0000	0.9990	0.00000000000000	16	14	16	20	17	20	1.30792536E8	1.03953848E8	1.30792536E8	10C(57.0215),6C(57.0215)		
sp|P24521|ERG8_YEAST	P24521	ERG8_YEAST	ERG8	451	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Phosphomevalonate kinase	1:Experimental evidence at protein level	5.10	1.0000	0.9990	0.00000000000000	4	4	4	3	3	3	1.6486227E7	1.6486227E7	1.6486227E7			
sp|P24783|DBP2_YEAST	P24783	DBP2_YEAST	DBP2	546	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	ATP-dependent RNA helicase DBP2	1:Experimental evidence at protein level	18.86	1.0000	0.9990	0.00000000000000	8	7	7	10	7	7	2.07353136E8	1.83287696E8	1.83287696E8	12C(57.0215)		
sp|P25039|EFGM_YEAST	P25039	EFGM_YEAST	MEF1	761	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Elongation factor G, mitochondrial	1:Experimental evidence at protein level	3.68	1.0000	0.9990	0.00000000000000	5	5	5	3	3	3	1.1762846E7	1.1762846E7	1.1762846E7	5C(57.0215)		
sp|P25043|PSB2_YEAST	P25043	PSB2_YEAST	PUP1	261	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Proteasome subunit beta type-2	1:Experimental evidence at protein level	7.28	1.0000	0.9990	0.00000000000000	2	2	2	3	3	3	3.2596362E7	3.2596362E7	3.2596362E7			
sp|P25045|LCB1_YEAST	P25045	LCB1_YEAST	LCB1	558	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Serine palmitoyltransferase 1	1:Experimental evidence at protein level	6.09	1.0000	0.9990	0.00000000000000	4	4	4	4	4	4	3.4140596E7	3.4140596E7	3.4140596E7			
sp|P25087|ERG6_YEAST	P25087	ERG6_YEAST	ERG6	383	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Sterol 24-C-methyltransferase ERG6	1:Experimental evidence at protein level	40.21	1.0000	0.9990	0.00000000000000	14	14	14	30	30	30	1.42466864E8	1.42466864E8	1.42466864E8	4C(57.0215),8C(57.0215),8C(57.0215),N-term(42.0106)		
sp|P25293|NAP1_YEAST	P25293	NAP1_YEAST	NAP1	417	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Nucleosome assembly protein	1:Experimental evidence at protein level	13.19	1.0000	0.9990	0.00000000000000	6	6	6	5	5	5	3.541168E7	3.541168E7	3.541168E7	16C(57.0215)		
sp|P25294|SIS1_YEAST	P25294	SIS1_YEAST	SIS1	352	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Protein SIS1	1:Experimental evidence at protein level	31.53	1.0000	0.9990	0.00000000000000	10	10	10	19	19	19	8.614624E7	8.614624E7	8.614624E7			
sp|P25296|CANB_YEAST	P25296	CANB_YEAST	CNB1	175	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Calcineurin subunit B	1:Experimental evidence at protein level	30.29	1.0000	0.9990	0.00000000000000	4	4	4	5	5	5	3.1092304E7	3.1092304E7	3.1092304E7			
sp|P25303|SCJ1_YEAST	P25303	SCJ1_YEAST	SCJ1	377	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	DnaJ-related protein SCJ1	1:Experimental evidence at protein level	3.18	1.0000	0.9990	0.00000000000000	2	2	2	1	1	1	9262951.0	9262951.0	9262951.0	4C(57.0215),7C(57.0215)		
sp|P25332|RBSK_YEAST	P25332	RBSK_YEAST	RBK1	333	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Ribokinase	1:Experimental evidence at protein level	11.71	1.0000	0.9990	0.00000000000000	3	3	3	3	3	3	1.2870678E7	1.2870678E7	1.2870678E7			
sp|P25340|ERG4_YEAST	P25340	ERG4_YEAST	ERG4	473	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Delta(24(24(1)))-sterol reductase ERG4	1:Experimental evidence at protein level	8.67	1.0000	0.9990	0.00000000000000	5	5	5	8	8	8	3.2159504E7	3.2159504E7	3.2159504E7			
sp|P25342|CDC10_YEAST	P25342	CDC10_YEAST	CDC10	322	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Cell division control protein 10	1:Experimental evidence at protein level	12.11	1.0000	0.9990	0.00000000000000	5	5	5	4	4	4	2.2794444E7	2.2794444E7	2.2794444E7			
sp|P25343|RV161_YEAST	P25343	RV161_YEAST	RVS161	265	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Reduced viability upon starvation protein 161	1:Experimental evidence at protein level	32.83	1.0000	0.9990	0.00000000000000	11	11	11	16	16	16	5.8617356E7	5.8617356E7	5.8617356E7	2C(57.0215)		
sp|P25349|YCP4_YEAST	P25349	YCP4_YEAST	YCP4	247	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Flavoprotein-like protein YCP4	1:Experimental evidence at protein level	32.39	1.0000	0.9990	0.00000000000000	6	6	6	10	10	10	1.24947448E8	1.24947448E8	1.24947448E8			
sp|P25367|RNQ1_YEAST	P25367	RNQ1_YEAST	RNQ1	405	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	[PIN+] prion protein RNQ1	1:Experimental evidence at protein level	9.38	1.0000	0.9990	0.00000000000000	3	3	3	4	4	4	3.9614432E7	3.9614432E7	3.9614432E7			
sp|P25368|RRP7_YEAST	P25368	RRP7_YEAST	RRP7	297	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Ribosomal RNA-processing protein 7	1:Experimental evidence at protein level	3.03	1.0000	0.9989	0.00000000000000	2	2	2	1	1	1	2271532.5	2271532.5	2271532.5			
sp|P25373|GLRX1_YEAST	P25373	GLRX1_YEAST	GRX1	110	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Glutaredoxin-1	1:Experimental evidence at protein level	52.73	1.0000	0.9990	0.00000000000000	5	5	5	10	10	10	1.15099248E8	1.15099248E8	1.15099248E8			
sp|P25374|NFS1_YEAST	P25374	NFS1_YEAST	NFS1	497	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Cysteine desulfurase, mitochondrial	1:Experimental evidence at protein level	3.42	1.0000	0.9990	0.00000000000000	3	3	3	2	2	2	1.8368324E7	1.8368324E7	1.8368324E7	6C(57.0215)		
sp|P25375|PRTD_YEAST	P25375	PRTD_YEAST	PRD1	712	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Saccharolysin	1:Experimental evidence at protein level	14.61	1.0000	0.9990	0.00000000000000	10	10	10	11	11	11	3.311539E7	3.311539E7	3.311539E7			
sp|P25386|USO1_YEAST	P25386	USO1_YEAST	USO1	1790	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Intracellular protein transport protein USO1	1:Experimental evidence at protein level	0.56	1.0000	0.9990	0.00000000000000	1	1	1	1	1	1	9912896.0	9912896.0	9912896.0			
sp|P25443|RS2_YEAST	P25443	RS2_YEAST	RPS2	254	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	40S ribosomal protein S2	1:Experimental evidence at protein level	50.39	1.0000	0.9990	0.00000000000000	11	11	11	49	49	49	6.2832333E8	6.2832333E8	6.2832333E8	17M(15.9949),N-term(42.0106)		
sp|P25451|PSB3_YEAST	P25451	PSB3_YEAST	PUP3	205	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Proteasome subunit beta type-3	1:Experimental evidence at protein level	18.05	1.0000	0.9990	0.00000000000000	4	4	4	4	4	4	4.6886532E7	4.6886532E7	4.6886532E7	2C(57.0215),7C(57.0215)		
sp|P25491|MAS5_YEAST	P25491	MAS5_YEAST	YDJ1	409	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Mitochondrial protein import protein MAS5	1:Experimental evidence at protein level	19.32	1.0000	0.9990	0.00000000000000	7	7	7	17	17	17	1.78023232E8	1.78023232E8	1.78023232E8	1C(57.0215),4C(57.0215),5C(57.0215),8C(57.0215)		
sp|P25567|SRO9_YEAST	P25567	SRO9_YEAST	SRO9	434	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	RNA-binding protein SRO9	1:Experimental evidence at protein level	12.44	1.0000	0.9990	0.00000000000000	6	6	6	6	6	6	4.0139312E7	4.0139312E7	4.0139312E7	N-term(42.0106)		
sp|P25574|EMC1_YEAST	P25574	EMC1_YEAST	EMC1	760	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	ER membrane protein complex subunit 1	1:Experimental evidence at protein level	3.42	1.0000	0.9990	0.00000000000000	4	4	4	3	3	3	2.7669408E7	2.7669408E7	2.7669408E7			
sp|P25605|ILV6_YEAST	P25605	ILV6_YEAST	ILV6	309	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Acetolactate synthase small subunit, mitochondrial	1:Experimental evidence at protein level	10.36	1.0000	0.9990	0.00000000000000	3	3	3	4	4	4	3.1608808E7	3.1608808E7	3.1608808E7	10C(57.0215)		
sp|P25623|SYP1_YEAST	P25623	SYP1_YEAST	SYP1	870	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Suppressor of yeast profilin deletion	1:Experimental evidence at protein level	12.07	1.0000	0.9990	0.00000000000000	12	12	12	10	10	10	2.5741308E7	2.5741308E7	2.5741308E7	2C(57.0215)		
sp|P25644|PAT1_YEAST	P25644	PAT1_YEAST	PAT1	796	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	DNA topoisomerase 2-associated protein PAT1	1:Experimental evidence at protein level	4.02	1.0000	0.9990	0.00000000000000	5	5	5	4	4	4	1.8732844E7	1.8732844E7	1.8732844E7			
sp|P25655|NOT1_YEAST	P25655	NOT1_YEAST	CDC39	2108	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	General negative regulator of transcription subunit 1	1:Experimental evidence at protein level	1.66	1.0000	0.9990	0.00000000000000	5	5	5	4	4	4	1.4027399E7	1.4027399E7	1.4027399E7			
sp|P25694|CDC48_YEAST	P25694	CDC48_YEAST	CDC48	835	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Cell division control protein 48	1:Experimental evidence at protein level	42.63	1.0000	0.9990	0.00000000000000	34	34	34	92	92	92	3.56907456E8	3.56907456E8	3.56907456E8	10C(57.0215),10C(57.0215),18C(57.0215)		
sp|P25719|CYPC_YEAST	P25719	CYPC_YEAST	CPR3	182	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Peptidyl-prolyl cis-trans isomerase C, mitochondrial	1:Experimental evidence at protein level	38.46	1.0000	0.9990	0.00000000000000	6	5	5	8	6	6	2.07477488E8	9.8507184E7	9.8507184E7			
sp|P26321|RL5_YEAST	P26321	RL5_YEAST	RPL5	297	false	false	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	60S ribosomal protein L5	1:Experimental evidence at protein level	48.15	1.0000	0.9990	0.00000000000000	11	11	11	51	51	51	8.7076237E8	8.7076237E8	8.7076237E8			
