Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	yeast1 Spectral Count	yeast2 Spectral Count	yeast3 Spectral Count	yeast1 Unique Spectral Count	yeast2 Unique Spectral Count	yeast3 Unique Spectral Count	yeast1 Total Spectral Count	yeast2 Total Spectral Count	yeast3 Total Spectral Count	yeast1 Intensity	yeast2 Intensity	yeast3 Intensity	yeast1 MaxLFQ Intensity	yeast2 MaxLFQ Intensity	yeast3 MaxLFQ Intensity	Indistinguishable Proteins
sp|P25644|PAT1_YEAST	P25644	PAT1_YEAST	PAT1	796	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	DNA topoisomerase 2-associated protein PAT1	1.0	0.999	5	9	9	9	4	3	2	4	3	2	4	3	2	2.5374764E7	2.3423796E7	2.3027958E7	6918091.0	6476752.5	6535620.5	
sp|P25654|YCY0_YEAST	P25654	YCY0_YEAST	YCR090C	182	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	UPF0587 protein YCR090C	0.9998	0.999	2	2	2	2	2	0	0	2	0	0	2	0	0	4923716.0	4930358.5	4297734.0	4923716.0	4930358.5	4297734.0	
sp|P25655|NOT1_YEAST	P25655	NOT1_YEAST	CDC39	2108	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	General negative regulator of transcription subunit 1	1.0	0.999	5	9	9	9	4	3	2	4	3	2	4	3	2	1.7592418E7	1.7271932E7	1.5255728E7	5217282.5	5960520.0	5677184.5	
sp|P25694|CDC48_YEAST	P25694	CDC48_YEAST	CDC48	835	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cell division control protein 48	1.0	0.999	37	309	309	309	92	106	111	92	106	111	92	106	111	1.35246374E9	1.40709504E9	1.4580992E9	1.2942412E8	1.3997856E8	1.37631216E8	
sp|P25719|CYPC_YEAST	P25719	CYPC_YEAST	CPR3	182	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Peptidyl-prolyl cis-trans isomerase C, mitochondrial	1.0	0.999	7	27	27	32	6	11	10	6	11	10	8	12	12	1.13445824E8	1.21117E8	1.37112128E8	3.8789212E7	3.9646644E7	4.1100892E7	
sp|P26321|RL5_YEAST	P26321	RL5_YEAST	RPL5	297	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L5	1.0	0.999	11	160	160	160	51	53	56	51	53	56	51	53	56	1.50037389E9	1.69243955E9	1.82967398E9	4.57844E8	4.47298208E8	4.921096E8	
sp|P26570|PPZ1_YEAST	P26570	PPZ1_YEAST	PPZ1	692	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Serine/threonine-protein phosphatase PP-Z1	1.0	0.999	3	3	0	12	2	0	1	0	0	0	5	3	4	6741290.5	5416761.0	6918676.5	3787204.0	3287390.0	4237109.5	sp|P33329|PPZ2_YEAST
sp|P26637|SYLC_YEAST	P26637	SYLC_YEAST	CDC60	1090	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Leucine--tRNA ligase, cytoplasmic	1.0	0.999	32	186	180	186	60	62	64	58	60	62	60	62	64	6.1828301E8	6.3367008E8	6.5421856E8	4.0091796E7	4.4304448E7	4.64304E7	
sp|P26754|RFA2_YEAST	P26754	RFA2_YEAST	RFA2	273	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Replication factor A protein 2	1.0	0.999	2	6	6	6	2	2	2	2	2	2	2	2	2	1.693212E7	1.546002E7	1.5321774E7	9447600.0	8910884.0	8840714.0	
sp|P26755|RFA3_YEAST	P26755	RFA3_YEAST	RFA3	122	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Replication factor A protein 3	0.9674	0.999	1	1	1	1	0	1	0	0	1	0	0	1	0	1798148.8	3034815.0	2680422.5	1798148.8	3034815.0	2680422.5	
sp|P26783|RS5_YEAST	P26783	RS5_YEAST	RPS5	225	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	40S ribosomal protein S5	1.0	0.999	7	120	120	120	36	39	45	36	39	45	36	39	45	8.9081242E8	9.5210643E8	8.7784378E8	2.29038384E8	2.44764944E8	2.34519024E8	
sp|P26784|RL16A_YEAST	P26784	RL16A_YEAST	RPL16A	199	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L16-A	1.0	0.999	10	51	51	98	17	17	17	17	17	17	33	33	32	3.83600704E8	4.02826528E8	3.43569376E8	1.35343584E8	1.47402704E8	1.31388976E8	
sp|P26785|RL16B_YEAST	P26785	RL16B_YEAST	RPL16B	198	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L16-B	1.0	0.999	10	104	57	104	34	35	35	18	19	20	34	35	35	1.17626432E9	1.11733837E9	8.937897E8	3.2926416E8	3.30496608E8	3.46496352E8	
sp|P26786|RS7A_YEAST	P26786	RS7A_YEAST	RPS7A	190	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	40S ribosomal protein S7-A	1.0	0.999	8	33	33	99	12	10	11	12	10	11	31	32	36	2.43632896E8	2.27408736E8	2.38019472E8	1.37775968E8	1.209434E8	1.13074536E8	
sp|P27466|KCC1_YEAST	P27466	KCC1_YEAST	CMK1	446	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Calcium/calmodulin-dependent protein kinase I	0.9995	0.9984	2	3	3	3	2	1	0	2	1	0	2	1	0	3792782.2	6146428.0	4831475.5	3184318.0	6146428.0	4831475.5	
sp|P27472|GYS2_YEAST	P27472	GYS2_YEAST	GSY2	705	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glycogen [starch] synthase isoform 2	1.0	0.999	15	60	41	60	20	20	20	14	14	13	20	20	20	1.41814192E8	1.57056272E8	1.45121792E8	2.113347E7	2.4039694E7	2.3345528E7	
sp|P27476|NSR1_YEAST	P27476	NSR1_YEAST	NSR1	414	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Nuclear localization sequence-binding protein	1.0	0.999	11	44	44	44	13	17	14	13	17	14	13	17	14	1.47863328E8	1.40298256E8	1.38550352E8	4.0588744E7	3.60562E7	3.6468456E7	
sp|P27515|URK1_YEAST	P27515	URK1_YEAST	URK1	501	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Uridine kinase	0.6077	0.9812	1	1	1	1	0	0	1	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P27614|CBPS_YEAST	P27614	CBPS_YEAST	CPS1	576	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Carboxypeptidase S	1.0	0.999	14	93	93	93	31	31	31	31	31	31	31	31	31	2.8204784E8	3.84411872E8	4.26369824E8	8.677288E7	1.03198232E8	1.13164664E8	
sp|P27616|PUR7_YEAST	P27616	PUR7_YEAST	ADE1	306	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Phosphoribosylaminoimidazole-succinocarboxamide synthase	1.0	0.999	19	123	123	123	38	41	44	38	41	44	38	41	44	4.02748416E8	4.27880128E8	4.24734784E8	6.52524E7	6.3875868E7	6.3424688E7	
sp|P27692|SPT5_YEAST	P27692	SPT5_YEAST	SPT5	1063	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Transcription elongation factor SPT5	1.0	0.999	13	27	27	27	10	9	8	10	9	8	10	9	8	6.8098632E7	8.1359872E7	7.4807544E7	1.0644307E7	1.1848136E7	1.1689403E7	
sp|P27809|KRE2_YEAST	P27809	KRE2_YEAST	KRE2	442	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glycolipid 2-alpha-mannosyltransferase	1.0	0.999	7	25	25	25	9	10	6	9	10	6	9	10	6	5.540232E7	5.7975688E7	4.2114916E7	1.736984E7	1.7613492E7	1.7730626E7	
sp|P27810|KTR1_YEAST	P27810	KTR1_YEAST	KTR1	393	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Alpha-1,2 mannosyltransferase KTR1	1.0	0.999	7	24	24	24	8	7	9	8	7	9	8	7	9	5.8986164E7	6.2361132E7	7.6044864E7	2.2805076E7	2.2844182E7	2.7599256E7	
sp|P28000|RPAC2_YEAST	P28000	RPAC2_YEAST	RPC19	142	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	DNA-directed RNA polymerases I and III subunit RPAC2	1.0	0.999	4	17	17	17	6	6	5	6	6	5	6	6	5	1.4826208E7	2.2278318E7	2.2714982E7	5732381.5	8148137.0	8399895.0	
sp|P28007|GAR1_YEAST	P28007	GAR1_YEAST	GAR1	205	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	H/ACA ribonucleoprotein complex subunit GAR1	1.0	0.999	3	10	10	10	4	3	3	4	3	3	4	3	3	3.1178538E7	4.2615736E7	5.0456796E7	2.600977E7	3.4079656E7	3.1453962E7	
sp|P28241|IDH2_YEAST	P28241	IDH2_YEAST	IDH2	369	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial	1.0	0.999	11	129	129	129	42	40	47	42	40	47	42	40	47	7.3811629E8	7.9640506E8	8.8532096E8	1.86933408E8	2.25954768E8	2.43272016E8	
sp|P28272|PYRD_YEAST	P28272	PYRD_YEAST	URA1	314	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Dihydroorotate dehydrogenase (fumarate)	1.0	0.999	9	88	88	88	33	27	28	33	27	28	33	27	28	3.891576E8	4.1583312E8	4.142464E8	7.523576E7	8.8884656E7	8.434132E7	
sp|P28273|OPLA_YEAST	P28273	OPLA_YEAST	OXP1	1286	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	5-oxoprolinase	0.9998	0.999	2	2	2	2	1	0	1	1	0	1	1	0	1	3247476.5	4707135.0	5046168.5	2130945.0	2951137.2	3131690.5	
sp|P28274|URA7_YEAST	P28274	URA7_YEAST	URA7	579	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	CTP synthase 1	1.0	0.999	15	48	42	48	17	16	15	15	14	13	17	16	15	1.17084024E8	1.30464968E8	1.2949452E8	1.6930826E7	1.6912926E7	1.6955654E7	
sp|P28321|MGLL_YEAST	P28321	MGLL_YEAST	YJU3	313	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Monoglyceride lipase	1.0	0.999	4	12	12	12	6	3	3	6	3	3	6	3	3	3.8825472E7	3.794022E7	4.11863E7	1.4564156E7	1.2723905E7	1.4492311E7	
sp|P28495|CAPZA_YEAST	P28495	CAPZA_YEAST	CAP1	268	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	F-actin-capping protein subunit alpha	1.0	0.999	5	17	17	17	5	5	7	5	5	7	5	5	7	8.7640376E7	9.55588E7	9.3472928E7	4.4175084E7	3.2911614E7	3.912538E7	
sp|P28496|LAC1_YEAST	P28496	LAC1_YEAST	LAC1	418	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Ceramide synthase LAC1	0.9674	0.999	1	3	3	3	1	1	1	1	1	1	1	1	1	1.0473057E7	1.0899421E7	9496351.0	1.0473057E7	1.0899421E7	9496351.0	
sp|P28625|YIM1_YEAST	P28625	YIM1_YEAST	YIM1	365	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein YIM1	1.0	0.999	2	6	6	6	3	2	1	3	2	1	3	2	1	6482229.5	1.2450256E7	5835250.5	3431395.2	6306964.5	6146904.5	
sp|P28707|SBA1_YEAST	P28707	SBA1_YEAST	SBA1	216	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Co-chaperone protein SBA1	1.0	0.999	5	60	60	60	22	20	18	22	20	18	22	20	18	2.3437208E8	2.26590096E8	2.219348E8	1.01859312E8	1.06524512E8	1.04874264E8	
sp|P28737|MSP1_YEAST	P28737	MSP1_YEAST	MSP1	362	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Outer mitochondrial transmembrane helix translocase	0.9674	0.999	1	3	3	3	1	1	1	1	1	1	1	1	1	2542794.8	3636544.5	2693523.5	2542794.8	3636544.5	2693523.5	
sp|P28777|AROC_YEAST	P28777	AROC_YEAST	ARO2	376	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Chorismate synthase	1.0	0.999	7	30	30	30	10	9	11	10	9	11	10	9	11	7.0844536E7	5.422256E7	6.2899236E7	1.5672432E7	1.5831813E7	1.41371E7	
sp|P28834|IDH1_YEAST	P28834	IDH1_YEAST	IDH1	360	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial	1.0	0.999	15	149	149	149	46	49	54	46	49	54	46	49	54	8.7862387E8	9.1400205E8	8.1833523E8	1.4450248E8	1.45367968E8	1.41930288E8	
sp|P29295|HRR25_YEAST	P29295	HRR25_YEAST	HRR25	494	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Casein kinase I homolog HRR25	0.8185	0.9934	1	1	0	1	1	0	0	0	0	0	1	0	0	5554887.5	3877568.0	4507899.5	5554887.5	3877568.0	4507899.5	sp|P39962|KC13_YEAST
sp|P29311|BMH1_YEAST	P29311	BMH1_YEAST	BMH1	267	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein BMH1	1.0	0.999	14	247	63	247	82	77	88	20	20	23	82	77	88	2.23696179E9	2.74153318E9	3.0147113E9	3.25737216E8	3.48752448E8	3.66247616E8	
sp|P29453|RL8B_YEAST	P29453	RL8B_YEAST	RPL8B	256	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L8-B	1.0	0.999	12	159	24	159	54	52	53	9	8	7	54	52	53	1.62441766E9	1.43738611E9	1.49603558E9	3.25491872E8	3.11815392E8	3.24890816E8	
sp|P29468|PAP_YEAST	P29468	PAP_YEAST	PAP1	568	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Poly(A) polymerase	0.9586	0.9987	1	2	2	2	1	1	0	1	1	0	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P29478|SEC65_YEAST	P29478	SEC65_YEAST	SEC65	273	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Signal recognition particle subunit SEC65	0.9674	0.999	1	3	3	3	1	1	1	1	1	1	1	1	1	5007379.0	4583343.5	4322716.0	5007379.0	4583343.5	4322716.0	
sp|P29509|TRXB1_YEAST	P29509	TRXB1_YEAST	TRR1	319	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Thioredoxin reductase 1	1.0	0.999	9	71	58	71	23	23	25	19	18	21	23	23	25	2.8939776E8	2.89188096E8	3.38744096E8	7.4765336E7	7.378236E7	8.8409912E7	
sp|P29547|EF1G1_YEAST	P29547	EF1G1_YEAST	CAM1	415	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Elongation factor 1-gamma 1	1.0	0.999	16	122	122	137	39	43	40	39	43	40	44	48	45	3.32413056E8	3.69432736E8	3.95315808E8	6.0064032E7	6.6653656E7	7.2534344E7	
sp|P29704|ERG9_YEAST	P29704	ERG9_YEAST	ERG9	444	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Squalene synthase ERG9	1.0	0.999	11	62	62	62	22	24	16	22	24	16	22	24	16	5.7001152E8	7.7774554E8	3.13079936E8	3.43753568E8	3.45047776E8	3.23894656E8	
sp|P29952|MPI_YEAST	P29952	MPI_YEAST	PMI40	429	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Mannose-6-phosphate isomerase	1.0	0.999	11	33	33	33	11	11	11	11	11	11	11	11	11	1.47711104E8	1.34607232E8	1.15542448E8	3.241171E7	3.1533192E7	3.2356428E7	
sp|P30624|LCF1_YEAST	P30624	LCF1_YEAST	FAA1	700	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Long-chain-fatty-acid--CoA ligase 1	1.0	0.999	21	94	89	94	33	28	33	31	27	31	33	28	33	3.06088096E8	3.22747264E8	3.31660256E8	5.3983232E7	5.0363048E7	4.8289432E7	
sp|P30656|PSB5_YEAST	P30656	PSB5_YEAST	PRE2	287	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Proteasome subunit beta type-5	0.9674	0.999	1	3	3	3	1	1	1	1	1	1	1	1	1	1.9288024E7	1.3471878E7	1.331598E7	1.9288024E7	1.3471878E7	1.331598E7	
sp|P30657|PSB7_YEAST	P30657	PSB7_YEAST	PRE4	266	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Proteasome subunit beta type-7	0.9999	0.999	2	11	11	11	3	4	4	3	4	4	3	4	4	2.7454888E7	2.7561912E7	2.499412E7	1.0328507E7	1.1382623E7	1.0910382E7	
sp|P30665|MCM4_YEAST	P30665	MCM4_YEAST	MCM4	933	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	DNA replication licensing factor MCM4	0.8648	0.9954	1	1	1	1	0	1	0	0	1	0	0	1	0	1915781.4	3709951.2	2664397.0	1915781.4	3709951.2	2664397.0	
sp|P30771|RENT1_YEAST	P30771	RENT1_YEAST	NAM7	971	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	ATP-dependent helicase NAM7	0.9674	0.999	1	1	1	1	0	0	1	0	0	1	0	0	1	4596138.5	5326433.0	4102207.0	4596138.5	5326433.0	4102207.0	
sp|P30822|XPO1_YEAST	P30822	XPO1_YEAST	CRM1	1084	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Exportin-1	1.0	0.999	22	62	62	62	23	19	20	23	19	20	23	19	20	1.37349536E8	1.41382544E8	1.56036848E8	1.6852054E7	1.6839846E7	1.771195E7	
sp|P31109|SNC1_YEAST	P31109	SNC1_YEAST	SNC1	117	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Synaptobrevin homolog 1	0.9946	0.999	2	3	3	5	1	1	1	1	1	1	2	2	1	1.2646006E7	1.378174E7	1.5747199E7	1.2646006E7	1.378174E7	1.5747199E7	
sp|P31116|DHOM_YEAST	P31116	DHOM_YEAST	HOM6	359	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Homoserine dehydrogenase	1.0	0.999	15	148	148	148	51	47	50	51	47	50	51	47	50	7.8940115E8	7.880599E8	8.0598272E8	1.24574544E8	1.16949752E8	1.2687524E8	
sp|P31373|CYS3_YEAST	P31373	CYS3_YEAST	CYS3	394	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Cystathionine gamma-lyase	1.0	0.999	10	118	118	118	37	39	42	37	39	42	37	39	42	5.8911334E8	6.2433261E8	7.2162771E8	1.1021876E8	1.2329008E8	1.39088E8	
sp|P31381|FUN26_YEAST	P31381	FUN26_YEAST	FUN26	517	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Nucleoside transporter FUN26	0.9674	0.999	1	2	2	2	0	1	1	0	1	1	0	1	1	1342656.8	2446928.0	3553319.5	1342656.8	2446928.0	3553319.5	
sp|P31382|PMT2_YEAST	P31382	PMT2_YEAST	PMT2	759	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Dolichyl-phosphate-mannose--protein mannosyltransferase 2	1.0	0.999	11	38	29	38	10	16	12	8	12	9	10	16	12	1.57037184E8	1.56404384E8	1.61158304E8	2.7443192E7	2.8180812E7	2.910648E7	
sp|P31383|2AAA_YEAST	P31383	2AAA_YEAST	TPD3	635	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Protein phosphatase PP2A regulatory subunit A	1.0	0.999	9	28	28	28	8	11	9	8	11	9	8	11	9	6.519156E7	8.3344072E7	7.565184E7	1.737027E7	2.0777104E7	2.153714E7	
sp|P31384|CCR4_YEAST	P31384	CCR4_YEAST	CCR4	837	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	CCR4-Not complex 3'-5'-exoribonuclease subunit Ccr4	1.0	0.999	3	6	6	6	3	1	2	3	1	2	3	1	2	8009188.0	6283447.5	1.0020004E7	4003237.2	3950092.0	4482477.0	
sp|P31412|VATC_YEAST	P31412	VATC_YEAST	VMA5	392	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	V-type proton ATPase subunit C	1.0	0.999	12	40	40	40	13	13	14	13	13	14	13	13	14	1.49712256E8	1.41955408E8	1.62264976E8	4.2157364E7	3.8594856E7	4.1907744E7	
sp|P31539|HS104_YEAST	P31539	HS104_YEAST	HSP104	908	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Heat shock protein 104	1.0	0.999	39	319	319	319	105	104	110	105	104	110	105	104	110	1.92689459E9	1.88974861E9	2.01809485E9	1.24030128E8	1.27801952E8	1.33698096E8	
sp|P31688|TPS2_YEAST	P31688	TPS2_YEAST	TPS2	896	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Trehalose-phosphatase	1.0	0.999	23	87	87	87	29	33	25	29	33	25	29	33	25	2.63590032E8	2.36967776E8	2.41509456E8	2.7351698E7	2.4198684E7	2.4590512E7	
sp|P31755|OCH1_YEAST	P31755	OCH1_YEAST	OCH1	480	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Initiation-specific alpha-1,6-mannosyltransferase	0.9185	0.9974	1	1	1	1	0	0	1	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P31787|ACBP_YEAST	P31787	ACBP_YEAST	ACB1	87	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Acyl-CoA-binding protein	1.0	0.999	8	67	67	67	24	21	22	24	21	22	24	21	22	4.92303552E8	4.67767456E8	6.8372467E8	1.93214976E8	1.486708E8	1.82461088E8	
sp|P32074|COPG_YEAST	P32074	COPG_YEAST	SEC21	935	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Coatomer subunit gamma	1.0	0.999	24	82	82	82	27	27	28	27	27	28	27	27	28	3.24023168E8	3.03986848E8	3.2468992E8	7.475388E7	7.3971096E7	7.8371664E7	
sp|P32178|CHMU_YEAST	P32178	CHMU_YEAST	ARO7	256	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Chorismate mutase	1.0	0.999	5	8	8	8	5	1	2	5	1	2	5	1	2	2.1001694E7	1.8019738E7	1.886682E7	8116641.5	6889074.5	6891149.0	
sp|P32179|MET22_YEAST	P32179	MET22_YEAST	MET22	357	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	3'(2'),5'-bisphosphate nucleotidase	1.0	0.999	3	10	10	10	4	3	3	4	3	3	4	3	3	2.0087636E7	2.260897E7	2.571012E7	5859931.0	7747133.5	8234565.5	
sp|P32191|GPDM_YEAST	P32191	GPDM_YEAST	GUT2	649	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glycerol-3-phosphate dehydrogenase, mitochondrial	1.0	0.999	4	12	12	12	4	4	4	4	4	4	4	4	4	1.0319468E7	7288379.5	1.6224224E7	5423758.5	6095779.5	9095354.0	
sp|P32263|P5CR_YEAST	P32263	P5CR_YEAST	PRO3	286	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Pyrroline-5-carboxylate reductase	1.0	0.999	10	54	54	54	13	22	19	13	22	19	13	22	19	2.06865232E8	1.91808464E8	2.00188672E8	4.3995212E7	4.341828E7	4.5445976E7	
sp|P32264|PROB_YEAST	P32264	PROB_YEAST	PRO1	428	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glutamate 5-kinase	0.999	0.999	2	5	3	5	2	1	2	1	1	1	2	1	2	9569176.0	5407510.0	8561445.0	5298217.0	5922520.5	4371692.0	
sp|P32266|MGM1_YEAST	P32266	MGM1_YEAST	MGM1	881	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Dynamin-like GTPase MGM1, mitochondrial	0.9995	0.999	2	2	2	2	1	1	0	1	1	0	1	1	0	0.0	1229047.0	0.0	0.0	0.0	0.0	
sp|P32288|GLNA_YEAST	P32288	GLNA_YEAST	GLN1	370	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Glutamine synthetase	1.0	0.999	10	87	87	87	26	31	30	26	31	30	26	31	30	5.0436464E8	4.84086112E8	4.7808016E8	1.01109896E8	1.04486392E8	1.04924768E8	
sp|P32319|VPS10_YEAST	P32319	VPS10_YEAST	PEP1	1579	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Vacuolar protein sorting/targeting protein VPS10	1.0	0.999	16	38	32	38	16	10	12	13	9	10	16	10	12	7.9895216E7	7.2215208E7	7.0701056E7	1.1365666E7	1.0656274E7	1.0691766E7	
sp|P32324|EF2_YEAST	P32324	EF2_YEAST	EFT1	842	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Elongation factor 2	1.0	0.999	35	633	633	633	210	202	221	210	202	221	210	202	221	5.9744061E9	6.2830141E9	6.4520504E9	7.1872352E8	7.0198406E8	7.3511379E8	
sp|P32327|PYC2_YEAST	P32327	PYC2_YEAST	PYC2	1180	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Pyruvate carboxylase 2	1.0	0.999	33	185	48	185	61	62	62	17	16	15	61	62	62	5.8324384E8	5.8212902E8	6.1920384E8	4.673322E7	4.641958E7	4.6980636E7	
sp|P32329|YPS1_YEAST	P32329	YPS1_YEAST	YPS1	569	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Aspartic proteinase 3	0.9674	0.999	1	6	6	6	2	2	2	2	2	2	2	2	2	2.1077702E7	2.3977786E7	2.4369086E7	2.1077702E7	2.3977786E7	2.4369086E7	
sp|P32337|IMB3_YEAST	P32337	IMB3_YEAST	PSE1	1089	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Importin subunit beta-3	1.0	0.999	7	12	12	12	5	4	3	5	4	3	5	4	3	2.9624576E7	1.86024512E8	2.1051672E7	2.1434976E7	1.7471804E7	1.9137588E7	
